ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration
111,44.2401839979,-112.1765989345,1689.1494140625,2012-05-16T16:39:31Z,,,X30-S,30-APR-12 7:20:21PM,30-APR-12 7:20:21PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
112,44.2401848361,-112.1770240646,1703.5690917969,2012-05-16T16:39:31Z,,,X31-G,30-APR-12 3:54:04PM,30-APR-12 3:54:04PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
113,44.2397353984,-112.1766074002,1691.3125,2012-05-16T16:39:31Z,,,X32-G,30-APR-12 4:12:51PM,30-APR-12 4:12:51PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
114,44.2400425952,-112.1769130882,1690.3510742188,2012-05-16T16:39:31Z,,,X33-S,30-APR-12 7:25:56PM,30-APR-12 7:25:56PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
115,44.2415396031,-112.1755651105,1694.9172363281,2012-05-16T16:39:31Z,,,X34-G,30-APR-12 6:51:07PM,30-APR-12 6:51:07PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
116,44.2406065296,-112.176799681,1690.5913085938,2012-05-16T16:39:31Z,,,X35-S,30-APR-12 7:15:00PM,30-APR-12 7:15:00PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
117,44.2410885729,-112.1764724515,1733.6101074219,2012-05-16T16:39:31Z,,,X36-G,30-APR-12 3:10:52PM,30-APR-12 3:10:52PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
118,44.2412007228,-112.1769105736,1736.7341308594,2012-05-16T16:39:31Z,,,X5-DROUGHT,30-APR-12 4:02:54PM,30-APR-12 4:02:54PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
119,44.2403375544,-112.1771637909,1704.5302734375,2012-05-16T16:39:31Z,,,X7-P,30-APR-12 3:52:43PM,30-APR-12 3:52:43PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
120,44.2403572518,-112.1771111526,1706.4528808594,2012-05-16T16:39:31Z,,,X8-D,30-APR-12 3:50:39PM,30-APR-12 3:50:39PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
